None_frobenius	None_kullback-leibler	None_itakura-saito	random_frobenius	random_kullback-leibler	random_itakura-saito	nndsvd_frobenius	nndsvd_kullback-leibler	nndsvd_itakura-saito	nndsvda_frobenius	nndsvda_kullback-leibler	nndsvda_itakura-saito	nndsvdar_frobenius	nndsvdar_kullback-leibler	nndsvdar_itakura-saito	SigProfiler
['SBS28', 'SBS34']	['SBS28', 'SBS34']	['SBS7c']	['SBS5', 'SBS17b']	['SBS22']	['SBS1', 'SBS5', 'SBS17a', 'SBS17b', 'SBS25']	['SBS28', 'SBS34']	['SBS5', 'SBS28', 'SBS34']	['SBS5', 'SBS28', 'SBS34']	['SBS28', 'SBS34']	['SBS28', 'SBS34']	['SBS7c']	['SBS28', 'SBS34']	['SBS5', 'SBS28', 'SBS34']	['SBS5', 'SBS28', 'SBS34']	['SBS5']
['SBS5']	['SBS5']	['SBS5', 'SBS17b']	['SBS5']	['SBS39']	['SBS17b']	['SBS5']	['SBS17b']	['SBS17b']	['SBS5', 'SBS17b']	['SBS5']	['SBS17b']	['SBS5']	['SBS5']	['SBS17b']	['SBS5', 'SBS34']
['SBS17b']	['SBS17a', 'SBS17b', 'SBS35']	['SBS17a', 'SBS17b', 'SBS35']	['SBS28', 'SBS34']	['SBS1', 'SBS3']	['SBS5', 'SBS54', 'SBS87']	['SBS1', 'SBS5', 'SBS17a']	['SBS1', 'SBS5', 'SBS17a']	['SBS1', 'SBS46', 'SBS89']	['SBS17b']	['SBS17a', 'SBS17b', 'SBS35']	['SBS17a', 'SBS17b', 'SBS35']	['SBS1', 'SBS5', 'SBS17a']	['SBS1', 'SBS5', 'SBS17a']	['SBS1', 'SBS5', 'SBS17a']	['SBS5', 'SBS17b']
['SBS2', 'SBS7c', 'SBS7d', 'SBS10a', 'SBS13']	['SBS5', 'SBS28', 'SBS58']	['SBS1', 'SBS40']	['SBS7c', 'SBS28']	['SBS5', 'SBS59']	['SBS1', 'SBS5', 'SBS90']	['SBS5']	['SBS5', 'SBS34']	['SBS54']	['SBS7c', 'SBS7d', 'SBS57']	['SBS5', 'SBS28', 'SBS58']	['SBS1', 'SBS40']	['SBS5']	['SBS5', 'SBS28', 'SBS34']	['SBS1', 'SBS5', 'SBS88']	['SBS22']
['SBS1', 'SBS54']	['SBS17a', 'SBS17b', 'SBS31']	['SBS7c']	['SBS1', 'SBS5', 'SBS17a']	['SBS1', 'SBS5', 'SBS17b']	['SBS5', 'SBS17b']	['SBS7c', 'SBS28']	['SBS7c', 'SBS28']	['SBS7c']	['SBS36', 'SBS54']	['SBS17a', 'SBS17b', 'SBS31']	['SBS7c']	['SBS7c', 'SBS28']	['SBS7c', 'SBS28', 'SBS58']	['SBS7c']	['SBS28', 'SBS58']
['SBS5', 'SBS27']	['SBS5', 'SBS22']	['SBS28', 'SBS57']	['SBS54']	['SBS39']	['SBS5', 'SBS34']	['SBS5', 'SBS17b']	['SBS5', 'SBS17b']	['SBS5', 'SBS34', 'SBS39']	['SBS27']	['SBS5', 'SBS22']	['SBS57', 'SBS58']	['SBS5', 'SBS17b']	['SBS17b', 'SBS39']	['SBS5', 'SBS17b']	['SBS7c']
['SBS5', 'SBS86']	['SBS21', 'SBS39']	['SBS1', 'SBS8', 'SBS39']	['SBS5']	['SBS5']	['SBS5', 'SBS50']	['SBS1', 'SBS54']	['SBS5']	['SBS1', 'SBS54']	['SBS5']	['SBS21', 'SBS39']	['SBS1', 'SBS8', 'SBS39']	['SBS1', 'SBS54']	['SBS5', 'SBS17b']	['SBS1', 'SBS5', 'SBS28']	['SBS1', 'SBS5']
['SBS1', 'SBS54']	['SBS1', 'SBS5', 'SBS27']	['SBS3']	['SBS7c']	['SBS28', 'SBS34']	['SBS1', 'SBS3', 'SBS59']	['SBS32', 'SBS86']	['SBS7c']	['SBS7c', 'SBS57']	['SBS54', 'SBS87']	['SBS1', 'SBS5', 'SBS27']	['SBS3']	['SBS32', 'SBS86']	['SBS7c']	['SBS57']	['SBS1', 'SBS5', 'SBS17b']
['SBS46']	['SBS5', 'SBS10d', 'SBS17a', 'SBS91']	['SBS5', 'SBS54', 'SBS87']	['SBS5', 'SBS86']	['SBS31']	['SBS17a', 'SBS31']	['SBS17a', 'SBS31']	['SBS5', 'SBS34', 'SBS51']	['SBS3', 'SBS34']	['SBS46']	['SBS10d', 'SBS46', 'SBS91']	['SBS5', 'SBS54', 'SBS87']	['SBS17a']	['SBS25', 'SBS27']	['SBS5', 'SBS34', 'SBS89']	['SBS1', 'SBS54']
['SBS5', 'SBS13']	['SBS1', 'SBS21', 'SBS43', 'SBS91']	['SBS5', 'SBS40']	['SBS17a', 'SBS35']	['SBS5', 'SBS57']	['SBS7c']	['SBS17b']	['SBS17a', 'SBS17b', 'SBS31']	['SBS5', 'SBS17b']	['SBS1', 'SBS2', 'SBS5', 'SBS7c', 'SBS7d', 'SBS13']	['SBS1', 'SBS21', 'SBS43', 'SBS91']	['SBS5', 'SBS8', 'SBS13']	['SBS17b', 'SBS35']	['SBS17a', 'SBS17b', 'SBS31']	['SBS17a', 'SBS17b', 'SBS31']	['SBS1', 'SBS5', 'SBS17a']
